method,type,noise_std,train_noise,accuracy
digital,digital,0.0,0.0,0.9611111111111111
digital,digital,0.01,0.0,0.9611111111111111
digital,digital,0.02,0.0,0.9611111111111111
digital,digital,0.05,0.0,0.9611111111111111
digital,digital,0.1,0.0,0.9611111111111111
digital,digital,0.15,0.0,0.9611111111111111
digital,digital,0.2,0.0,0.9611111111111111
digital,digital,0.25,0.0,0.9611111111111111
digital,digital,0.3,0.0,0.9611111111111111
phase,phase,0.0,0.0,0.9416666666666667
phase,phase,0.01,0.0,0.9416666666666667
phase,phase,0.02,0.0,0.9444444444444444
phase,phase,0.05,0.0,0.9388888888888889
phase,phase,0.1,0.0,0.9444444444444444
phase,phase,0.15,0.0,0.9444444444444444
phase,phase,0.2,0.0,0.9361111111111111
phase,phase,0.25,0.0,0.9361111111111111
phase,phase,0.3,0.0,0.9111111111111111
phase_noiseaware,phase,0.0,0.0,0.9444444444444444
phase_noiseaware,phase,0.01,0.0,0.9444444444444444
phase_noiseaware,phase,0.02,0.0,0.9416666666666667
phase_noiseaware,phase,0.05,0.0,0.9333333333333333
phase_noiseaware,phase,0.1,0.0,0.9333333333333333
phase_noiseaware,phase,0.15,0.0,0.9444444444444444
phase_noiseaware,phase,0.2,0.0,0.9361111111111111
phase_noiseaware,phase,0.25,0.0,0.9416666666666667
phase_noiseaware,phase,0.3,0.0,0.9416666666666667
amplitude,amplitude,0.0,0.0,0.9611111111111111
amplitude,amplitude,0.01,0.0,0.9555555555555556
amplitude,amplitude,0.02,0.0,0.9555555555555556
amplitude,amplitude,0.05,0.0,0.9611111111111111
amplitude,amplitude,0.1,0.0,0.9583333333333334
amplitude,amplitude,0.15,0.0,0.9527777777777777
amplitude,amplitude,0.2,0.0,0.9527777777777777
amplitude,amplitude,0.25,0.0,0.9444444444444444
amplitude,amplitude,0.3,0.0,0.9416666666666667
amplitude_noiseaware,amplitude,0.0,0.0,0.9583333333333334
amplitude_noiseaware,amplitude,0.01,0.0,0.9555555555555556
amplitude_noiseaware,amplitude,0.02,0.0,0.9527777777777777
amplitude_noiseaware,amplitude,0.05,0.0,0.9555555555555556
amplitude_noiseaware,amplitude,0.1,0.0,0.9638888888888889
amplitude_noiseaware,amplitude,0.15,0.0,0.9527777777777777
amplitude_noiseaware,amplitude,0.2,0.0,0.9527777777777777
amplitude_noiseaware,amplitude,0.25,0.0,0.9472222222222222
amplitude_noiseaware,amplitude,0.3,0.0,0.9416666666666667
